AGE,LENGTH,WEIGHT
6,330,0.452
6,367,0.662
7,322,0.484
1,262,0.274
2,276,0.328
1,288,0.322
3,314,0.402
5,328,0.458
9,353,0.52
8,356,0.606
8,421,0.906
5,371,0.672
5,335,0.46
6,380,0.72
5,321,0.426
5,294,0.362
5,300,0.366
12,361,0.634
6,379,0.67
6,411,0.892
5,313,0.362
4,281,0.312
1,273,0.272
6,327,0.45
5,312,0.41
2,327,0.44
8,366,0.654
6,364,0.704
7,369,0.744
1,257,0.256
4,337,0.54
4,333,0.526
8,380,0.73
5,318,0.418
5,335,0.556
5,320,0.482
5,296,0.404
5,296,0.362
6,344,0.574
4,321,0.476
6,298,0.39
5,318,0.444
10,433,1.094
12,396,0.77
10,410,0.974
1,268,0.304
5,309,0.4
5,329,0.526
6,396,0.738
5,310,0.43
1,313,0.458
1,292,0.398
5,298,0.374
4,295,0.35
6,312,0.44
6,352,0.582
6,352,0.492
6,353,0.532
7,339,0.54
4,296,0.31
11,452,1.296
11,377,0.602
7,436,0.97
2,263,0.206
6,333,0.444
2,266,0.216
9,310,0.336
6,316,0.388
7,329,0.398
7,314,0.338
2,276,0.22
11,364,0.618
6,335,0.446
5,316,0.37
7,344,0.522
7,331,0.42
5,321,0.424
5,400,0.698
7,411,0.822
7,380,0.7
7,375,0.644
4,396,0.692
10,320,0.4
7,360,0.582
7,353,0.558
6,330,0.41
6,287,0.304
2,420,0.978
2,268,0.244
6,370,0.68
6,344,0.588
6,366,0.682
6,376,0.71
5,338,0.546
2,251,0.194
11,253,0.208
5,298,0.346
6,334,0.494
5,289,0.324
5,327,0.432
2,258,0.252
5,314,0.394
2,300,0.328
9,412,0.862
3,313,0.364
6,352,0.612
6,355,0.568
2,283,0.286
2,278,0.264
2,265,0.25
6,353,0.586
5,341,0.528
2,311,0.396
6,375,0.734
4,329,0.498
2,257,0.238
2,263,0.216
2,244,0.19
6,338,0.492
6,383,0.768
7,408,0.946
2,248,0.228
2,250,0.196
2,251,0.198
5,361,0.592
6,371,0.638
6,377,0.672
1,210,0.1
2,241,0.166
1,216,0.12
7,335,0.512
7,318,0.408
10,296,0.386
2,241,0.182
2,257,0.204
2,254,0.21
6,314,0.504
2,280,0.268
2,265,0.238
2,246,0.182
5,346,0.484
6,321,0.454
5,311,0.412
2,308,0.392
6,306,0.372
6,313,0.376
6,308,0.404
5,294,0.338
5,355,0.572
2,262,0.21
2,280,0.264
2,286,0.278
5,320,0.418
5,306,0.338
2,240,0.186
2,259,0.226
2,262,0.22
5,323,0.452
6,306,0.404
7,306,0.352
2,252,0.188
2,243,0.172
2,252,0.184
3,371,0.758
11,370,0.764
6,343,0.548
2,244,0.174
2,249,0.186
2,253,0.194
8,395,0.838
7,337,0.484
7,357,0.524
3,306,0.344
2,263,0.216
3,251,0.182
2,260,0.21
2,244,0.174
2,231,0.164
2,265,0.224
2,246,0.172
2,292,0.312
9,329,0.482
7,333,0.504
6,350,0.57
5,296,0.306
2,273,0.248
2,244,0.18
7,333,0.502
8,383,0.744
5,320,0.426
2,256,0.182
2,234,0.158
2,277,0.254
5,371,0.622
7,338,0.46
6,327,0.43
5,317,0.384
4,317,0.422
2,279,0.268
2,271,0.244
2,266,0.232
9,426,0.926
2,255,0.2
2,241,0.168
6,244,0.188
8,321,0.412
7,300,0.376
5,292,0.326
2,270,0.24
2,255,0.204
2,265,0.21
3,314,0.428
6,351,0.482
5,320,0.454
6,384,0.742
2,268,0.222
2,246,0.184
2,239,0.162
2,257,0.214
5,344,0.468
6,351,0.546
7,315,0.378
2,250,0.186
3,278,0.266
2,261,0.22
2,257,0.198
2,248,0.194
7,381,0.664
2,237,0.156
2,232,0.164
2,229,0.156
4,310,0.346
2,268,0.24
6,329,0.476
2,266,0.234
2,253,0.2
3,273,0.262
6,399,0.766
5,350,0.534
6,349,0.494
6,304,0.372
3,274,0.272
2,273,0.238
6,338,0.482
7,342,0.586
5,306,0.376
7,321,0.47
4,293,0.322
2,245,0.172
2,259,0.206
2,253,0.206
5,331,0.484
6,335,0.51
6,329,0.482
2,248,0.186
4,291,0.332
5,276,0.258
8,361,0.564
6,331,0.46
6,314,0.388
2,255,0.206
5,253,0.184
2,252,0.182
6,280,0.272
5,289,0.326
6,311,0.376
10,356,0.586
7,339,0.526
11,376,0.66
8,356,0.622
2,271,0.234
2,252,0.182
5,316,0.38
6,291,0.324
9,367,0.65
3,268,0.216
5,286,0.302
3,254,0.192
2,287,0.292
2,248,0.202
2,232,0.154
9,309,0.36
3,287,0.3
5,292,0.344
5,383,0.74
5,343,0.494
6,349,0.582
2,252,0.192
2,247,0.19
2,244,0.19
5,287,0.276
4,287,0.304
2,262,0.22
7,351,0.53
7,300,0.354
5,335,0.448
2,241,0.172
2,245,0.182
2,252,0.196
2,265,0.248
3,287,0.306
5,303,0.296
9,374,0.656
13,384,0.834
7,313,0.438
2,266,0.206
2,312,0.336
2,288,0.296
2,246,0.188
2,252,0.186
2,223,0.134
6,320,0.38
5,332,0.464
6,299,0.318
2,260,0.22
2,262,0.23
6,413,0.93
1,228,0.132
2,260,0.196
11,335,0.456
2,277,0.258
7,333,0.38
5,318,0.37
5,347,0.492
6,304,0.364
3,277,0.266
2,256,0.202
6,300,0.318
2,251,0.19
3,245,0.186
2,260,0.22
1,237,0.148
7,341,0.442
6,309,0.34
6,315,0.392
10,381,0.686
7,399,0.8
6,353,0.554
2,256,0.202
2,261,0.196
5,294,0.31
6,293,0.32
6,315,0.394
2,284,0.272
1,222,0.126
2,240,0.166
2,242,0.156
5,316,0.396
6,320,0.376
5,297,0.312
6,364,0.594
6,359,0.568
2,242,0.166
2,251,0.168
3,292,0.284
4,296,0.32
6,290,0.274
10,376,0.644
12,394,0.658
7,321,0.394
2,273,0.252
2,248,0.188
2,248,0.186
5,320,0.402
7,352,0.55
6,334,0.452
4,296,0.306
2,256,0.188
2,272,0.244
2,254,0.202
5,330,0.448
5,308,0.36
6,289,0.316
2,252,0.196
2,256,0.206
2,253,0.186
2,252,0.202
2,276,0.23
5,300,0.38
6,337,0.466
7,313,0.416
5,298,0.336
1,219,0.118
2,251,0.162
1,227,0.13
3,298,0.292
5,326,0.432
5,316,0.414
7,369,0.624
7,375,0.778
6,358,0.626
2,225,0.14
2,258,0.206
2,243,0.168
2,240,0.176
2,265,0.234
2,267,0.062
2,254,0.204
6,383,0.726
3,264,0.24
2,262,0.226
6,349,0.502
5,333,0.444
6,356,0.56
5,268,0.238
3,297,0.3
3,267,0.24
6,370,0.664
1,216,0.106
1,225,0.116
2,258,0.212
2,248,0.184
2,283,0.276
6,377,0.71
4,294,0.3
2,236,0.154
5,322,0.38
7,374,0.566
8,320,0.398
2,276,0.248
2,256,0.188
2,249,0.17
6,329,0.442
6,363,0.584
9,353,0.562
2,245,0.192
2,250,0.19
2,244,0.174
6,344,0.54
7,349,0.504
7,378,0.664
2,247,0.18
2,241,0.156
2,252,0.164
6,347,0.506
6,314,0.392
4,293,0.316
5,283,0.294
2,267,0.232
2,266,0.242
6,351,0.536
6,340,0.468
7,329,0.392
1,227,0.128
1,214,0.122
2,248,0.184
12,321,0.418
7,374,0.554
6,374,0.616
7,420,0.898
3,251,0.19
2,261,0.19
2,268,0.192
2,233,0.144
2,245,0.186
2,246,0.186
2,276,0.288
7,300,0.348
6,279,0.248
2,266,0.212
5,337,0.506
3,298,0.326
1,228,0.142
6,313,0.396
6,307,0.364
5,337,0.544
1,255,0.218
1,248,0.186
5,365,0.638
1,271,0.236
6,308,0.406
2,299,0.412
5,314,0.42
9,337,0.52
9,377,0.718
6,374,0.652
1,217,0.124
6,293,0.388
5,323,0.444
5,313,0.412
5,330,0.424
1,255,0.206
1,255,0.216
1,256,0.23
9,359,0.626
6,350,0.534
5,317,0.388
1,261,0.228
1,265,0.228
1,246,0.204
6,365,0.592
5,313,0.474
4,330,0.568
6,325,0.462
2,280,0.304
2,283,0.282
5,287,0.304
2,272,0.296
6,315,0.466
4,347,0.538
5,327,0.484
2,319,0.39
2,297,0.329
2,292,0.299
6,347,0.536
5,301,0.402
5,345,0.606
1,192,0.088
3,329,0.515
2,264,0.295
2,274,0.27
1,193,0.09
6,294,0.32
2,405,0.922
2,254,0.208
2,263,0.242
2,262,0.244
9,368,0.602
2,326,0.482
6,337,0.482
1,240,0.182
2,262,0.228
2,262,0.28
2,253,0.17
1,243,0.18
1,255,0.18
1,268,0.246
2,306,0.364
6,184,0.062
1,281,0.254
2,241,0.156
6,354,0.572
5,364,0.692
2,298,0.334
6,282,0.276
2,279,0.248
4,266,0.246
5,332,0.402
2,274,0.284
1,256,0.204
2,282,0.276
6,366,0.658
3,308,0.362
5,303,0.378
4,295,0.33
8,345,0.552
5,312,0.396
6,414,0.914
5,345,0.482
5,335,0.488
2,348,0.59
5,380,0.672
6,320,0.446
6,342,0.53
4,331,0.476
12,350,0.542
7,358,0.604
7,330,0.446
7,353,0.586
3,274,0.27
1,303,0.376
6,355,0.62
7,332,0.49
3,297,0.348
7,344,0.47
5,298,0.356
2,283,0.3
2,301,0.318
2,272,0.26
6,297,0.352
5,307,0.362
7,333,0.46
2,265,0.224
1,271,0.234
5,335,0.466
6,380,0.672
6,318,0.388
2,273,0.238
6,358,0.556
5,366,0.57
6,369,0.572
6,331,0.482
7,341,0.482
11,363,0.57
10,335,0.486
2,274,0.292
1,190,0.082
2,301,0.352
1,303,0.422
5,288,0.292
6,319,0.428
