"Latitude","Year","Season","AvgUp","Anomaly"
"32-33",1996,"Summer",-0.01588266548,-0.0146160523016424
"32-33",1997,"Summer",0.00054857776,0.00181519093835762
"32-33",1998,"Summer",0.0197553759866667,0.0210219891650243
"32-33",1999,"Summer",0.0363159635733333,0.037582576751691
"32-33",2000,"Summer",0.0467636889866667,0.0480303021650243
"32-33",2001,"Summer",0.0483540722,0.0496206853783576
"32-33",2002,"Summer",0.0449228249733333,0.046189438151691
"32-33",2003,"Summer",0.040277873308,0.0415444864863576
"32-33",2004,"Summer",0.034526621912,0.0357932350903576
"32-33",2005,"Summer",0.0266208946933333,0.027887507871691
"32-33",2006,"Summer",0.0139362161333333,0.015202829311691
"32-33",2007,"Summer",-0.00232907224,-0.00106245906164238
"32-33",2008,"Summer",-0.0201380404529333,-0.0188714272745757
"32-33",2009,"Summer",-0.0331292441733333,-0.0318626309949757
"32-33",2010,"Summer",-0.0377765427066667,-0.036509929528309
"32-33",2011,"Summer",-0.0358145065066667,-0.034547893328309
"32-33",2012,"Summer",-0.0307423774,-0.0294757642216424
"32-33",2013,"Summer",-0.02524054904,-0.0239739358616424
"32-33",2014,"Summer",-0.02101904412,-0.0197524309416424
"32-33",2015,"Summer",-0.0174464854,-0.0161798722216424
"32-33",2016,"Summer",-0.01193409316,-0.0106674799816424
"32-33",2017,"Summer",-0.00618585654666667,-0.00491924336830905
"32-33",2018,"Summer",-0.00329162985333333,-0.00202501667497571
"32-33",2019,"Summer",-0.00337730522534667,-0.00211069204698905
"32-33",2020,"Summer",-0.00549046384,-0.00422385066164238
"33-34",1993,"Summer",0.00461418968,-0.0176387793490143
"33-34",1994,"Summer",-0.00631985022666667,-0.028572819255681
"33-34",1995,"Summer",-0.0185956646533333,-0.0408486336823476
"33-34",1996,"Summer",-0.02667802488,-0.0489309939090143
"33-34",1997,"Summer",-0.0212984767333333,-0.0435514457623476
"33-34",1998,"Summer",-0.000106822293333333,-0.0223597913223476
"33-34",1999,"Summer",0.0316781621333333,0.00942519310431905
"33-34",2000,"Summer",0.0602244649866667,0.0379714959576524
"33-34",2001,"Summer",0.0802822105866667,0.0580292415576524
"33-34",2002,"Summer",0.0893669821466667,0.0671140131176524
"33-34",2003,"Summer",0.0930830344266667,0.0708300653976524
"33-34",2004,"Summer",0.0975869136133333,0.0753339445843191
"33-34",2005,"Summer",0.100633316946667,0.0783803479176524
"33-34",2006,"Summer",0.0984434985333333,0.076190529504319
"33-34",2007,"Summer",0.0849448527466667,0.0626918837176524
"33-34",2008,"Summer",0.0548582317333333,0.032605262704319
"33-34",2009,"Summer",0.0175302628,-0.00472270622901428
"33-34",2010,"Summer",-0.0135738396,-0.0358268086290143
"33-34",2011,"Summer",-0.0281280686,-0.0503810376290143
"33-34",2012,"Summer",-0.0272079905066667,-0.049460959535681
"33-34",2013,"Summer",-0.0199402396142667,-0.042193208643281
"33-34",2014,"Summer",-0.01296032476,-0.0352132937890143
"33-34",2015,"Summer",-0.00903080717333333,-0.0312837762023476
"33-34",2016,"Summer",-0.00648050156,-0.0287334705890143
"33-34",2017,"Summer",-0.00303175746666667,-0.025284726495681
"33-34",2018,"Summer",0.000401400746666667,-0.0218515682823476
"33-34",2019,"Summer",0.00124775196,-0.0210052170690143
"33-34",2020,"Summer",0.00154022784,-0.0207127411890143
"34-35",1993,"Summer",-0.011546094954955,-0.105767163474582
"34-35",1994,"Summer",-0.0335481733693694,-0.127769241888996
"34-35",1995,"Summer",-0.0612842603963964,-0.155505328916023
"34-35",1996,"Summer",-0.0899605137297297,-0.184181582249356
"34-35",1997,"Summer",-0.108313057153153,-0.20253412567278
"34-35",1998,"Summer",-0.105710958234234,-0.199932026753861
"34-35",1999,"Summer",-0.0766155919009009,-0.170836660420528
"34-35",2000,"Summer",-0.0315182255315315,-0.125739294051158
"34-35",2001,"Summer",0.0233054968378378,-0.0709155716817889
"34-35",2002,"Summer",0.0763425232252252,-0.0178785452944016
"34-35",2003,"Summer",0.126243284297297,0.0320222157776705
"34-35",2004,"Summer",0.178855787666667,0.0846347191470399
"34-35",2005,"Summer",0.227145552540541,0.132924484020914
"34-35",2006,"Summer",0.276050138459459,0.181829069939833
"34-35",2007,"Summer",0.317343828873874,0.223122760354247
"34-35",2008,"Summer",0.332921216234234,0.238700147714607
"34-35",2009,"Summer",0.315614166027027,0.2213930975074
"34-35",2010,"Summer",0.272309210594595,0.178088142074968
"34-35",2011,"Summer",0.220369935423423,0.126148866903797
"34-35",2012,"Summer",0.183569369774775,0.089348301255148
"34-35",2013,"Summer",0.164950472990991,0.0707294044713642
"34-35",2014,"Summer",0.149677134306306,0.0554560657866795
"34-35",2015,"Summer",0.12737856745045,0.0331574989308237
"34-35",2016,"Summer",0.0888132239009009,-0.00540784461872587
"34-35",2017,"Summer",0.0501757286576577,-0.0440453398619691
"34-35",2018,"Summer",0.0216967302702703,-0.0725243382493565
"34-35",2019,"Summer",0.00444735761261261,-0.0897737109070142
"34-35",2020,"Summer",-0.000522931324324324,-0.0947439998439511
