,AMO,MEI,NAO
1993.25,-0.189,0.98,0.97
1993.33333333333,-0.18,1.48,-0.78
1993.41666666667,-0.197,1.5,-0.59
1993.5,-0.293,0.91,-3.18
1993.58333333333,-0.245,0.62,0.12
1993.66666666667,-0.18,0.64,-0.57
1993.75,-0.259,0.95,-0.71
1993.83333333333,-0.334,0.7,2.56
1993.91666666667,-0.309,0.26,1.56
1994,-0.312,0.02,1.04
1994.08333333333,-0.325,-0.17,0.46
1994.16666666667,-0.295,-0.21,1.26
1994.25,-0.216,0.03,1.14
1994.33333333333,-0.223,0,-0.57
1994.41666666667,-0.238,0.25,1.52
1994.5,-0.248,0.88,1.31
1994.58333333333,-0.252,0.84,0.38
1994.66666666667,-0.169,1.06,-1.32
1994.75,-0.076,1.47,-0.97
1994.83333333333,-0.036,0.99,0.64
1994.91666666667,-0.108,0.87,2.02
1995,-0.079,0.77,0.93
1995.08333333333,-0.057,0.48,1.14
1995.16666666667,-0.001,0.14,1.25
1995.25,0.059,0.18,-0.85
1995.33333333333,0.254,0.16,-1.49
1995.41666666667,0.347,0,0.13
1995.5,0.297,-0.25,-0.22
1995.58333333333,0.166,-0.65,0.69
1995.66666666667,0.036,-0.86,0.31
1995.75,0.084,-0.65,0.19
1995.83333333333,0.109,-0.67,-1.38
1995.91666666667,0.024,-0.82,-1.67
1996,-0.027,-0.83,-0.12
1996.08333333333,-0.05,-0.81,-0.07
1996.16666666667,-0.075,-0.64,-0.24
1996.25,-0.008,-0.69,-0.17
1996.33333333333,-0.083,-0.83,-1.06
1996.41666666667,-0.141,-0.9,0.56
1996.5,-0.122,-0.76,0.67
1996.58333333333,-0.026,-0.6,1.02
1996.66666666667,-0.019,-0.26,-0.86
1996.75,-0.162,-0.31,-0.33
1996.83333333333,-0.192,-0.3,-0.56
1996.91666666667,-0.173,-0.45,-1.41
1997,-0.109,-0.66,-0.49
1997.08333333333,-0.054,-0.72,1.7
1997.16666666667,-0.013,-0.29,1.46
1997.25,-0.01,0.17,-1.02
1997.33333333333,0.022,0.68,-0.28
1997.41666666667,-0.01,2.25,-1.47
1997.5,0.042,2.11,0.34
1997.58333333333,-0.003,2.2,0.83
1997.66666666667,0.091,2.17,0.61
1997.75,0.132,2.01,-1.7
1997.83333333333,0.033,2.06,-0.9
1997.91666666667,0.113,2.03,-0.96
1998,0.112,2.23,0.39
1998.08333333333,0.274,2.43,-0.11
1998.16666666667,0.304,2.27,0.87
1998.25,0.273,2.55,-0.68
1998.33333333333,0.365,2.26,-1.32
1998.41666666667,0.471,0.37,-2.72
1998.5,0.469,-1.42,-0.48
1998.58333333333,0.494,-1.74,-0.02
1998.66666666667,0.394,-1.31,-2
1998.75,0.364,-1.21,-0.29
1998.83333333333,0.299,-1.3,-0.28
1998.91666666667,0.261,-1.25,0.87
1999,0.032,-1.26,0.77
1999.08333333333,0.039,-1.18,0.29
1999.16666666667,0.051,-1.11,0.23
1999.25,0.034,-1.17,-0.95
1999.33333333333,0.144,-1.36,0.92
1999.41666666667,0.162,-1.26,1.12
1999.5,0.18,-1.19,-0.9
1999.58333333333,0.288,-1.07,0.39
1999.66666666667,0.166,-1.17,0.36
1999.75,-0.001,-1.31,0.2
1999.83333333333,-0.067,-1.33,0.65
1999.91666666667,-0.004,-1.43,1.61
2000,-0.102,-1.26,0.6
2000.08333333333,-0.057,-1.27,1.7
2000.16666666667,0.085,-1.36,0.77
2000.25,0.024,-0.93,-0.03
2000.33333333333,0.086,-0.97,1.58
2000.41666666667,-0.036,-1.14,-0.03
2000.5,0.054,-0.58,-1.03
2000.58333333333,0.084,-0.08,-0.29
2000.66666666667,0.083,-0.36,-0.21
2000.75,-0.059,-0.55,0.92
2000.83333333333,-0.071,-0.91,-0.92
2000.91666666667,-0.146,-0.8,-0.58
2001,-0.146,-0.82,0.25
2001.08333333333,-0.045,-0.87,0.45
2001.16666666667,-0.004,-0.79,-1.26
2001.25,-0.031,-0.61,0
2001.33333333333,-0.028,-0.58,-0.02
2001.41666666667,0.179,-0.71,-0.2
2001.5,0.116,-0.02,-0.25
2001.58333333333,0.159,0.34,-0.07
2001.66666666667,0.267,-0.07,-0.65
2001.75,0.233,-0.25,-0.24
2001.83333333333,0.137,-0.32,0.63
2001.91666666667,0.195,0.02,-0.83
2002,0.163,0.07,0.44
2002.08333333333,0.146,-0.26,1.1
2002.16666666667,0.126,-0.2,0.69
2002.25,0.008,-0.36,1.18
2002.33333333333,-0.067,-0.1,-0.22
2002.41666666667,-0.136,0.4,0.38
2002.5,-0.085,0.42,0.62
2002.58333333333,0.088,0.97,0.38
2002.66666666667,0.061,0.84,-0.7
2002.75,0.092,0.79,-2.28
2002.83333333333,0,0.76,-0.18
2002.91666666667,-0.014,0.86,-0.94
2003,0.031,0.8,0.16
2003.08333333333,-0.032,0.62,0.62
2003.16666666667,0.093,0.53,0.32
2003.25,0.06,-0.08,-0.18
2003.33333333333,0.132,-0.57,0.01
2003.41666666667,0.186,-0.07,-0.07
2003.5,0.257,0.01,0.13
2003.58333333333,0.396,0.01,-0.07
2003.66666666667,0.433,0.14,0.01
2003.75,0.407,0.26,-1.26
2003.83333333333,0.204,0.29,0.86
2003.91666666667,0.205,0.1,0.64
2004,0.191,0.16,-0.29
2004.08333333333,0.19,-0.04,-0.14
2004.16666666667,0.139,-0.44,1.02
2004.25,0.089,-0.23,1.15
2004.33333333333,-0.014,-0.44,0.19
2004.41666666667,0.158,-0.34,-0.89
2004.5,0.208,0.43,1.13
2004.58333333333,0.297,0.74,-0.48
2004.66666666667,0.221,0.54,0.38
2004.75,0.223,0.34,-1.1
2004.83333333333,0.202,0.51,0.73
2004.91666666667,0.168,0.51,1.21
2005,0.091,0.08,1.52
2005.08333333333,0.106,0.61,-0.06
2005.16666666667,0.265,0.82,-1.83
2005.25,0.273,0.13,-0.3
2005.33333333333,0.274,0.18,-1.25
2005.41666666667,0.307,0.2,-0.05
2005.5,0.427,-0.02,-0.51
2005.58333333333,0.42,-0.01,0.37
2005.66666666667,0.399,-0.05,0.63
2005.75,0.218,-0.71,-0.98
2005.83333333333,0.12,-0.75,-0.31
2005.91666666667,0.197,-0.73,-0.44
2006,0.104,-0.68,1.2651
2006.08333333333,0.055,-0.5,-0.51059
2006.16666666667,0.04,-0.61,-1.2779
2006.25,0.178,-0.84,1.2353
2006.33333333333,0.289,-0.43,-1.1444
2006.41666666667,0.314,-0.23,0.84123
2006.5,0.355,0.11,0.90244
2006.58333333333,0.381,0.56,-1.7264
2006.66666666667,0.344,0.63,-1.6219
2006.75,0.315,0.68,-2.2439
2006.83333333333,0.269,0.9,0.43681
2006.91666666667,0.152,0.59,1.3366
2007,0.151,0.62,0.22265
2007.08333333333,0.197,0.39,-0.47004
2007.16666666667,0.107,-0.22,1.4425
2007.25,0.139,-0.36,0.16942
2007.33333333333,0.092,-0.44,0.66381
2007.41666666667,0.069,-0.86,-1.3064
