"Latitude","Year","Season","AvgUp","Anomaly"
"30-31",2012,"Winter",-0.0426916744933333,-0.0639639180829633
"30-31",2013,"Winter",-0.0282494866133333,-0.0495217302029633
"30-31",2014,"Winter",-0.01739828392,-0.03867052750963
"30-31",2015,"Winter",-0.0101513211066667,-0.0314235646962967
"30-31",2016,"Winter",-0.0032998724,-0.02457211598963
"30-31",2017,"Winter",0.00354664633333333,-0.0177255972562967
"30-31",2018,"Winter",0.0112788806133333,-0.00999336297629667
"30-31",2019,"Winter",0.0187447241333333,-0.00252751945629667
"30-31",2020,"Winter",0.0263166174666667,0.00504437387703667
"31-32",1993,"Winter",0.240062477013333,0.198439589370619
"31-32",1994,"Winter",0.23571528328,0.194092395637286
"31-32",1995,"Winter",0.224563195706667,0.182940308063952
"31-32",1996,"Winter",0.20686216612,0.165239278477286
"31-32",1997,"Winter",0.18596283604,0.144339948397286
"31-32",1998,"Winter",0.16229010156,0.120667213917286
"31-32",1999,"Winter",0.13504211164,0.0934192239972857
"31-32",2000,"Winter",0.100751040293333,0.059128152650619
"31-32",2001,"Winter",0.0632133084533333,0.0215904208106191
"31-32",2002,"Winter",0.0262724926266667,-0.0153503950160476
"31-32",2003,"Winter",-0.00637062629333333,-0.0479935139360476
"31-32",2004,"Winter",-0.0375250225333333,-0.0791479101760476
"31-32",2005,"Winter",-0.0678773840666667,-0.109500271709381
"31-32",2006,"Winter",-0.09301364388,-0.134636531522714
"31-32",2007,"Winter",-0.106765875186667,-0.148388762829381
"31-32",2008,"Winter",-0.11099331648,-0.152616204122714
"31-32",2009,"Winter",-0.103311531306667,-0.144934418949381
"31-32",2010,"Winter",-0.08846873768,-0.130091625322714
"31-32",2011,"Winter",-0.0709186731506667,-0.112541560793381
"31-32",2012,"Winter",-0.0445893733866667,-0.086212261029381
"31-32",2013,"Winter",-0.0147949315333333,-0.0564178191760476
"31-32",2014,"Winter",0.0104225091466667,-0.0312003784960476
"31-32",2015,"Winter",0.0274913691066667,-0.0141315185360476
"31-32",2016,"Winter",0.04046165248,-0.00116123516271428
"31-32",2017,"Winter",0.0514737502,0.00985086255728572
"31-32",2018,"Winter",0.0606555019466667,0.0190326143039524
"31-32",2019,"Winter",0.0667291265866667,0.0251062389439524
"31-32",2020,"Winter",0.0721010472933333,0.030478159650619
"32-33",1993,"Winter",0.06024300332,0.0401188284316619
"32-33",1994,"Winter",0.0636624120666667,0.0435382371783286
"32-33",1995,"Winter",0.0635731766266667,0.0434490017383286
"32-33",1996,"Winter",0.0597564455866667,0.0396322706983286
"32-33",1997,"Winter",0.0528365693466667,0.0327123944583286
"32-33",1998,"Winter",0.0451108618,0.0249866869116619
"32-33",1999,"Winter",0.0364877980933333,0.0163636232049952
"32-33",2000,"Winter",0.0270339706666667,0.00690979577832857
"32-33",2001,"Winter",0.01677153136,-0.00335264352833809
"32-33",2002,"Winter",0.00625228648,-0.0138718884083381
"32-33",2003,"Winter",7.64616400000001e-05,-0.0200477132483381
"32-33",2004,"Winter",-0.00360041114666667,-0.0237245860350048
"32-33",2005,"Winter",-0.00812289662666667,-0.0282470715150048
"32-33",2006,"Winter",-0.0132171591466667,-0.0333413340350048
"32-33",2007,"Winter",-0.0165919764933333,-0.0367161513816714
"32-33",2008,"Winter",-0.0192486591506667,-0.0393728340390048
"32-33",2009,"Winter",-0.01809556152,-0.0382197364083381
"32-33",2010,"Winter",-0.01437086212,-0.0344950370083381
