"Event","lat","lon","depth","temp","date","year","month","day"
"2011-61",34.31642,-76.89497,24,21.05649948,2011-06-10,2011,6,10
"2011-62",33.92517,-76.75485,37,21.88143959,2011-06-11,2011,6,11
"2011-67",33.43616,-77.02824,87,15.65489998,2011-06-12,2011,6,12
"2011-70",32.58543,-79.146,32,21.01003329,2011-06-28,2011,6,28
"2011-71",32.78015,-78.6499,31,NA,2011-07-12,2011,7,12
"2011-72",32.78295,-78.65812,32,NA,2011-07-12,2011,7,12
"2011-73",32.79218,-78.64105,32,NA,2011-07-12,2011,7,12
"2011-74",32.75912,-78.43892,46,NA,2011-07-13,2011,7,13
"2011-75",32.7389,-78.49212,44,NA,2011-07-13,2011,7,13
"2011-76",32.87147,-78.26867,44,NA,2011-07-13,2011,7,13
"2011-77",32.84438,-78.26089,50,NA,2011-07-13,2011,7,13
"2011-81",33.47105,-78.24862,23,27.02151108,2011-07-26,2011,7,26
"2011-82",33.28168,-78.47003,25,24.33745003,2011-07-26,2011,7,26
"2011-83",33.27178,-78.45323,24,24.30949974,2011-07-26,2011,7,26
"2011-84",32.50428,-79.69535,16,25.27710056,2011-07-28,2011,7,28
"2011-85",32.51203,-79.69538,15,25.4801,2011-07-28,2011,7,28
"2011-91",32.0166,-79.45,49,19.35850016,2011-08-10,2011,8,10
"2011-92",32.1458,-79.28397,46,20.38934994,2011-08-10,2011,8,10
"2011-95",32.33652,-79.0437,56,21.14935017,2011-08-11,2011,8,11
"2011-97",32.49263,-78.8154,52,20.42650032,2011-08-11,2011,8,11
"2011-98",32.70882,-78.53543,51,22.58009911,2011-08-30,2011,8,30
"2012-1",32.25915,-79.69145,27,NA,2012-05-01,2012,5,1
"2012-10",32.51206,-79.69863,17,22.84845066,2012-05-08,2012,5,8
"2012-1000",30.6142025,-81.16941071,21,21.54670048,2012-04-24,2012,4,24
"2012-1001",30.4862175,-81.21981812,19,21.65802944,2012-04-24,2012,4,24
"2012-1002",29.17021942,-80.58602905,26,22.52758121,2012-04-25,2012,4,25
"2012-1003",29.16666031,-80.56755066,29,22.53526624,2012-04-25,2012,4,25
"2012-1004",29.16269302,-80.53847504,25,22.5739024,2012-04-25,2012,4,25
"2012-1005",29.12211037,-80.49697113,27,22.59190804,2012-04-25,2012,4,25
"2012-1006",27.28107262,-80.02006531,43,20.15324402,2012-04-26,2012,4,26
"2012-1007",27.26533127,-80.02188873,43,20.32865,2012-04-26,2012,4,26
"2012-1008",27.22554779,-80.05149841,24,21.76484966,2012-04-26,2012,4,26
"2012-1009",27.33521843,-80.07019043,25,21.53458187,2012-04-26,2012,4,26
"2012-1010",27.44824028,-80.07131195,24,17.67794991,2012-04-27,2012,4,27
"2012-1011",27.46615219,-80.07695007,23,21.5259044,2012-04-27,2012,4,27
"2012-1012",27.7231636,-80.12785339,23,19.81831932,2012-04-27,2012,4,27
"2012-1013",28.72890663,-80.14297485,54,14.75230026,2012-04-28,2012,4,28
"2012-1014",28.86526299,-80.17118835,52,15.19844158,2012-04-28,2012,4,28
"2012-1015",28.96183205,-80.18291473,53,15.20720898,2012-04-28,2012,4,28
"2012-1016",29.00364685,-80.27130127,43,17.16022397,2012-04-28,2012,4,28
"2012-1017",29.75193977,-80.45343781,34,21.30220032,2012-04-29,2012,4,29
"2012-1018",29.69997978,-80.50041962,34,20.96350002,2012-04-29,2012,4,29
