Time,TripoleIndex
15-Jun-2006,-1.3753508077359
15-Jul-2006,-1.33674307991564
15-Aug-2006,-1.30036179700238
15-Sep-2006,-1.26724329176295
15-Oct-2006,-1.23692661214908
15-Nov-2006,-1.20814210077499
15-Dec-2006,-1.17921604175459
15-Jan-2007,-1.14877739008056
14-Feb-2007,-1.11577705380954
15-Mar-2007,-1.07947572253044
15-Apr-2007,-1.03955030114641
15-May-2007,-0.996385873204841
15-Jun-2007,-0.951628292797652
15-Jul-2007,-0.90759381332545
15-Aug-2007,-0.866792026480456
15-Sep-2007,-0.831023846244425
15-Oct-2007,-0.801194379508195
15-Nov-2007,-0.777621687403955
15-Dec-2007,-0.759763912005825
15-Jan-2008,-0.74615138591955
14-Feb-2008,-0.734909848464245
15-Mar-2008,-0.723987712959228
