"Winter","Spring","Summer","Fall"
-9.57125324372861e-18,1.33992123671137e-17,4.30689966449414e-18,2.6797084815729e-17
1.53125155802999e-17,-1.14844231952658e-17,3.11077231084041e-18,0
-2.48846596690248e-17,-1.24428555791003e-17,-4.30736699301677e-18,9.57125324372861e-18
5.74323387877612e-18,-7.65624318613363e-18,3.11077231084041e-18,-9.5725237931495e-18
1.72281244025645e-17,-2.39339382058135e-18,1.19671151430701e-18,-1.53126032043979e-17
1.91464495718669e-18,-8.13537175395292e-18,6.69909595573627e-18,-1.72284164828912e-17
-2.10566549080886e-17,-5.74358437516809e-18,3.82812159306681e-18,7.65624318613363e-18
-7.65624318613363e-18,-4.78544407166016e-19,5.26416372702216e-18,2.48838418441102e-17
2.10557202510434e-17,1.1007339189733e-17,5.50320226634385e-18,3.82812159306681e-18
2.48841923405022e-17,1.33986592399952e-17,-7.1748254387543e-19,-2.29687879744662e-17
1.91581327849324e-18,-4.3066513962165e-18,4.30727936891877e-18,3.8278879288055e-18
-2.48847180850901e-17,-7.65625779014996e-18,1.67572324999565e-18,-2.67981363049049e-17
-1.91409292536934e-17,9.57148690798993e-18,1.43548718133473e-18,2.67972016478597e-17
-1.91499545357865e-18,9.09146749517438e-18,-2.63199423941309e-18,-1.91476178931734e-18
-1.53126324124306e-17,-1.29196475043065e-17,-7.17553738455048e-19,-1.33989513203218e-17
1.14844524032984e-17,1.00496516107313e-17,6.93889390390723e-18,-9.57132626381027e-18
2.29697226315115e-17,-8.61407680529859e-18,-5.5034067225725e-18,9.57185200839822e-18
1.33984547837665e-17,1.1006988693341e-17,-9.57264062528015e-19,-2.67976689763823e-17
1.72282996507605e-17,-1.05269254684764e-17,5.74218238960022e-18,2.29690216387275e-17
5.74264971812284e-18,0,-3.11077231084041e-18,-3.83209388550911e-18
-2.67990125458848e-17,-2.87057138309379e-18,0,3.83045823567993e-18
-2.10564212438273e-17,8.61450032177222e-18,5.0243657788512e-18,1.33985424078645e-17
7.65624318613363e-18,1.05272759648684e-17,-4.30669520826549e-18,2.29689632226622e-17
2.29692553029888e-17,1.43525351707342e-18,-1.91406079653341e-18,-1.53126032043979e-17
1.72280659864992e-17,-4.30684124842881e-18,5.50326068240918e-18,-7.65625779014996e-18
-1.33984547837665e-17,8.61473398603353e-18,3.58873255735315e-18,-1.53130121168552e-17
1.72279199463359e-17,9.09140907910905e-18,-1.43516589297542e-18,-2.67981363049049e-17
-2.10563044116967e-17,-7.17828293962089e-18,0,9.570654479059e-18
1.91413673741833e-17,-1.29197643364372e-17,-4.7864444467789e-18,-2.29692443499766e-17
9.5706763850835e-18,5.74124773255498e-18,-5.26410531095683e-18,-5.74149234982854e-18
-1.14843647792004e-17,-4.78668176204429e-18,-4.78567773592147e-18,-3.82812159306681e-18
1.14841603229718e-17,1.0049899879009e-17,-5.74221159763289e-18,-2.29696642154461e-17
-2.2969527302793e-17,-5.26317065391158e-18,4.30745461711476e-18,7.65625779014996e-18
-3.8278879288055e-18,-2.39365669287532e-18,-6.69918357983426e-18,-1.53127784525939e-17
9.57170596823491e-18,8.13747473230473e-18,-2.87068228234282e-18,1.72286501471525e-17
5.74136456468563e-18,1.91476178931734e-18,6.2214862056155e-18,1.91651427127718e-18
-2.67984868012969e-17,-7.65624318613363e-18,1.43548718133473e-18,1.91511228570931e-18
-2.29687295584009e-17,0,-2.39327698845069e-18,1.14844231952658e-17
-2.48837250119795e-17,-4.30581896728558e-18,-5.74221159763289e-18,3.82812159306681e-18
1.33991265685178e-17,0,-9.57906639246622e-19,-2.6797084815729e-17
7.65625779014996e-18,-2.39155371452352e-18,-3.82814349909131e-18,-1.914165945451e-17
-3.82812159306681e-18,1.33988929042565e-17,3.82812159306681e-18,1.43565074631765e-17
-1.05281156958075e-17,7.65636001826429e-18,-3.58904654370429e-18,-2.10559393112884e-17
5.74229922173088e-18,-1.33978706231132e-17,-2.39313825029554e-18,-2.48848349172208e-17
-1.53129537007899e-17,8.13525492182227e-18,-5.02483310737382e-18,2.67980194727743e-17
-2.39274540225621e-17,7.65624318613363e-18,-4.54576295561985e-18,2.77555756156289e-17
3.82812159306681e-18,-4.78662699698305e-18,5.50337386353575e-18,-4.7857361519868e-18
8.61397457718427e-18,-1.05267137102396e-17,4.78516659534985e-18,2.67990125458848e-17
1.91420099509019e-17,-9.57018715053638e-18,4.78719655361999e-19,9.5725237931495e-18
-1.91406079653341e-18,-2.8704486180815e-18,-3.11077231084041e-18,-1.05268086363458e-17
-2.58415148190955e-17,1.43496143674678e-18,2.87110579881644e-18,3.82812159306681e-18
-8.6140329932496e-18,-6.2215300176645e-18,-3.82816540511581e-18,-7.65624318613363e-18
2.77555756156289e-17,1.19632596827584e-17,-5.26400308284251e-18,-1.14843647792004e-17
7.65636001826429e-18,8.13548858608358e-18,-3.34964974960695e-18,-2.29692406989725e-17
-2.48846596690248e-17,0,-6.69944645212824e-18,-5.74229922173088e-18
-2.67980194727743e-17,-7.65624318613363e-18,-4.78924111590647e-19,2.29698248596258e-17
-1.14844816113311e-17,-6.69927120393225e-18,1.91406809854157e-18,1.91534594997062e-18
-3.82812159306681e-18,8.61414982538025e-18,2.39289728402606e-18,1.05267794283131e-17
